Episode,State,Action,Collision_Probability,Collision_Probability_Per_StepDone
0,"[-37.59482956  -1.46662581 -12.53590965   0.           0.
   0.          12.          -1.           1.38499665 105.1618042
 359.05181885   2.93714382]",30,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.29515038e+01 -1.58709264e+00 -1.38162460e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.57230937e+00  1.05373749e+02  3.59110565e+02  5.86100195e-05]",47,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26987419e+01 -1.59402621e+00 -1.38890839e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59471631e+00  1.05360123e+02  3.59110504e+02  5.74214162e-05]",20,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26987419e+01 -1.59402621e+00 -1.38890839e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59471703e+00  1.05360123e+02  3.59110504e+02  5.69863021e-05]",40,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26987419e+01 -1.59402621e+00 -1.38890839e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59471607e+00  1.05360123e+02  3.59110504e+02  5.70078493e-05]",32,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26987419e+01 -1.59402633e+00 -1.38890839e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59471655e+00  1.05360123e+02  3.59110504e+02  5.69312666e-05]",47,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26987419e+01 -1.59402633e+00 -1.38890839e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59471953e+00  1.05360123e+02  3.59110504e+02  5.70526370e-05]",35,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26987419e+01 -1.59402633e+00 -1.38890839e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59471989e+00  1.05360123e+02  3.59110504e+02  5.70275051e-05]",42,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26987419e+01 -1.59402633e+00 -1.38890839e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59471953e+00  1.05360123e+02  3.59110504e+02  5.71848423e-05]",0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26987419e+01 -1.59402633e+00 -1.38890839e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59471977e+00  1.05360123e+02  3.59110504e+02  5.72153647e-05]",6,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
