Episode,State,Action,Collision_Probability,Collision_Probability_Per_StepDone
0,"[-38.63144302  -1.4405632  -12.25383759   0.           0.
   0.          12.          -1.           1.40764523 105.11242676
 359.04733276   1.38933183]",1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.38579445e+01 -1.56315351e+00 -1.35630636e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.52067542e+00  1.05331223e+02  3.59117767e+02  5.29666550e-05]",43,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
