x,y,z,rx,ry,rz,rain,fog,wetness,timeofday,signal,speed,local_diff,local_angle,dis_diff,theta_diff,vel_diff,size_diff,mlp_eval,cost_eval,cruise_mlp_eval,junction_mlp_eval,cyclist_keep_lane_eval,lane_scanning_eval,pedestrian_interaction_eval,junction_map_eval,lane_aggregating_eval,semantic_lstm_eval,jointly_prediction_planning_eval,vectornet_eval,unknown,throttle,brake,steering_rate,steering_target,acceleration,gear,num_obs,num_npc,min_obs_dist,speed_min_obs_dist,vol_min_obs_dist,dist_to_max_speed_obs,collision_probability
-36.9173355102539,-1.48355722427368,-12.7217292785645,1.40479445457459,105.201316833496,359.053588867188,0,0,0,12,-1,2.86078509015694,3.08199540154811,1.31162739745683,100,10,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,100,-0.390773016949803,0.0896421481557858,1,1,1,15.1909329429165,8.61331158717262,100.877361056689,15.1909329429165,0
-35.4921531677246,-1.51925706863403,-13.1132144927979,1.38289141654968,105.276405334473,359.047729492188,0,0,0,12,-1,2.92254938451454,1.87007858131188,1.31778019059928,100,10,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1780377353231,100,-0.402946700275948,-3,1,1,1,10.9372098654815,13.9198715438434,101.010588758672,10.9372098654815,0.464797066705322
-34.5696411132813,-1.54353129863739,-13.3681020736694,1.66778123378754,105.329750061035,359.10791015625,0,0,0,12,-1,1.19957554221023,1.01508571567519,1.33211665357619,100,10,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1305079748854,100,-0.361959741083861,-3,1,1,1,6.0901279756316,10.6737300458965,98.7187478302642,6.0901279756316,0
-34.0942840576172,-1.55660223960876,-13.4999809265137,1.7433397769928,105.349311828613,359.112365722656,0,0,0,12,-1,0.00138118667000773,0.537582759345076,1.3606571714651,1.96949849743061,6.24900712544138,7.38032350311476,2.56130676900531,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69.5937474009891,100,-0.397718565770789,-3,1,1,1,4.16047325152494,4.74366770515583,96.8044431431758,4.16047325152494,0.168598143003794
-34.0935897827148,-1.55675983428955,-13.5006837844849,1.51549804210663,105.352424621582,359.112243652344,0,0,0,12,-1,0.00103685867862343,0.537927619737033,1.3615445217132,100,10,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9373431212977,100,-0.397718565770789,-3,1,1,1,3.88767902986139,0.951392530439886,100.802962329683,3.88767902986139,0.223489197863107
-34.0935516357422,-1.55675983428955,-13.5008420944214,1.49988281726837,105.352386474609,359.111999511719,0,0,0,12,-1,5.21051962875295E-05,0.538378069137535,1.36176078222267,1.1047192494235,6.2635218257513,12.8231738125072,2.88429019781678,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69.9502211160871,100,-0.397718565770789,-3,1,1,1,3.88164979199152,0.123629484578646,99.6205854037867,3.88164979199152,0.224721534675913
-34.0935516357422,-1.55675554275513,-13.50084400177,1.49946475028992,105.352386474609,359.112182617188,0,0,0,12,-1,5.28848550846079E-05,0.538626668948157,1.36173986271163,1.12835720900705,6.21934613242229,9.67175512637411,2.43451597451515,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69.9638707735721,100,-0.397718565770789,-3,1,1,1,3.95804565218491,3.25813195932572,100.774409862689,3.95804565218491,0.209578450168687
-34.0666732788086,-1.55754208564758,-13.5084667205811,1.45915496349335,105.348762512207,359.113403320313,0,0,0,12,-1,0.275041412538019,0.511031243108467,1.36538504549747,100,10,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9743213709735,100,-0.39309131147147,-3,1,1,1,5.12648151011998,6.58828835734138,97.2136039115943,5.12648151011998,0
-34.0213012695313,-1.55873417854309,-13.5215349197388,1.52453935146332,105.350326538086,359.11279296875,0,0,0,12,-1,0.00104230493567116,0.464132076875449,1.3729877202801,100,10,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9916430704009,100,-0.3909562380286,-3,1,1,1,8.22786509291971,8.53575784127382,96.8044130107312,8.22786509291971,0
-34.0213851928711,-1.55876088142395,-13.5220355987549,1.50672101974487,105.350242614746,359.112091064453,0,0,0,12,-1,0.00100939917436608,0.464214897288303,1.37406633092891,5.29630133906541,5.96206244777966,9.4504511003662,7.00606143159396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9877404326132,100,-0.3909562380286,-3,1,1,1,12.6605197585622,9.45045017535304,99.6840335746095,12.6605197585622,0
