x,y,z,rain,fog,wetness,timeofday,signal,rx,ry,rz,speed,num_obs,num_npc,min_obs_dist,speed_min_obs_dist,vol_min_obs_dist,dist_to_max_speed_obs,local_diff,local_angle,dis_diff,theta_diff,vel_diff,size_diff,mlp_eval,cost_eval,cruise_mlp_eval,junction_mlp_eval,cyclist_keep_lane_eval,lane_scanning_eval,pedestrian_interaction_eval,junction_map_eval,lane_aggregating_eval,semantic_lstm_eval,jointly_prediction_planning_eval,vectornet_eval,unknown,throttle,brake,steering_rate,steering_target,acceleration,gear,collision_probability
-542.548034667969,36.0800628662109,14.8924131393433,358.060211181641,126.605354309082,-0.0053369551897049,0,0,0,12,-1,3.0259920168223324,49.59246744850946,0.96576226523639,29.19119872724784,1.3667174441729912,4.307474090175967,1.565946083805476,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,1.227615684046791,0.355156382651875,1,1,1,47.47641900795339,4.3074735200464715,13.818185593679614,47.47641900795339,0
-541.33740234375,36.1260299682617,13.9949111938477,358.375885009766,126.553718566895,0.00865647383034229,0,0,0,12,-1,3.018898300197845,71.43875517803305,0.9908575888373949,26.18674986895934,1.3842201117235504,7.240219868631799,2.3598714703223256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.254376601989946,100.0,0.09886053263130791,-0.12512334167793127,1,1,1,42.98466787106825,7.240218844476211,13.630747218952607,42.98466787106825,0
-540.272338867188,36.1608428955078,13.1424121856689,358.746704101563,127.737174987793,359.953094482422,0,0,0,12,-1,2.472564739604321,95.48910803473223,1.0067747230872848,24.230084643160897,1.4417171861368274,8.84977732196076,3.6550054289672618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.24867990566054,100.0,0.10759776470409355,-0.5358577795420275,1,1,1,37.54521330758906,8.849776152333781,13.998635504774974,37.54521330758906,0
-539.423889160156,36.1824035644531,12.47633934021,359.034759521484,127.932228088379,359.960357666016,0,0,0,12,-1,1.8449914225123545,1.6242389745787151,0.9089045975447159,20.40356255704486,1.3092322622233041,9.58105022180941,0.6812929531224275,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-2.8534463061897535,0.07845244046132682,1,1,1,31.838174291246514,9.581049457166358,14.028251954914092,31.838174291246514,0
-538.748779296875,36.196361541748,11.9340467453003,359.146911621094,128.323211669922,359.977111816406,0,0,0,12,-1,1.7498716721828733,1.7587385960611799,0.9022894886873752,22.152178658016215,1.4165473322370303,9.870016905892276,1.4519669210749866,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7458119595636,0.0,100.0,0.4478250587642624,1.3089662735971708,1,1,1,26.122694264153274,9.870016106026233,14.061657630776809,26.122694264153274,0
-537.80126953125,36.2111206054688,11.1873369216919,359.236572265625,128.254943847656,359.969879150391,0,0,0,12,-1,3.4127085945447146,3.807251545580446,0.9119629993856635,17.634892302154313,1.4621497366826475,9.962011298994089,3.2999693307153897,0,0,1,0,0,0,0,0,0,0,0,0,0,48.33624946427685,0.0,100.0,1.236793415206142,1.8471539306876248,1,1,1,20.008617100913106,9.962010499409606,14.001696224391825,20.008617100913106,0
-536.235717773438,36.2264137268066,9.97101497650146,359.705902099609,127.850242614746,359.968597412109,0,0,0,12,-1,4.165081318032552,20.33011827333913,0.9358824602248483,14.720542914105286,1.4309480615523853,9.994921039377692,3.9459929671964704,0,0,1,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,2.5720695188951863,0.5994432193079141,1,1,1,13.190162498324193,9.99492019060619,14.000588178218514,13.190162498324193,0
-534.536560058594,36.233585357666,8.68428134918213,359.867340087891,127.186050415039,359.971557617188,0,0,0,12,-1,4.386527937692886,46.34902504810648,0.98380916067241,17.980231379669558,1.4565173641161664,10.004518592864954,0.6128032527503458,0,0,1,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,0.5523441953663767,0.8170017998018657,1,1,1,6.6072409049020955,10.00451774128045,14.022074638997664,6.6072409049020955,0
-532.766052246094,36.2382431030273,7.33881807327271,359.842102050781,127.358573913574,0.00994239747524261,0,0,0,12,-1,4.505134060000123,65.70646581158769,1.0068935397118106,20.54406989099066,1.4789065816465836,10.000203744455634,0.5340706397305031,0,0,1,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-0.02223050084387938,0.19559148715073318,1,1,1,3.9485498472229374,10.000202591185033,14.035188526858708,3.9485498472229374,0.2120020707240083
-530.965759277344,36.2462730407715,5.95174264907837,359.732757568359,127.705238342285,0.00433263555169106,0,0,0,12,-1,4.522826294470944,87.03470778573843,1.0205481438672237,24.624510954747105,1.509928154679983,9.994963952960607,4.269489625365498,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,21.170490891547225,100.0,0.03437748803656366,-0.3500787124109861,1,1,1,9.648164521723505,9.994962802434037,14.062234058440902,9.648164521723505,0
-529.292419433594,36.259635925293,4.63730525970459,359.600128173828,128.052185058594,359.982086181641,0,0,0,12,-1,3.983295553774057,1.9183498808393546,0.9068805385090781,28.032126553248364,1.4559883154141744,9.978825261471984,0.08395295970674836,0,0,1,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-0.2210420045874225,0.20756317957487289,1,1,1,16.490742272142437,9.978824383742593,14.094762448161243,16.490742272142437,0
-527.766357421875,36.2763442993164,3.44018125534058,359.410400390625,128.092651367188,359.975158691406,0,0,0,12,-1,3.900904385238156,3.7858510754744885,0.9061986170502901,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.21805754322544,0.0,100.0,1.9560058269423903,1.7931340277922354,1,1,1,23.311346194223223,9.99021458367469,14.081257373166682,23.311346194223223,0
