x,y,z,rx,ry,rz,rain,fog,wetness,timeofday,signal,speed,local_diff,local_angle,dis_diff,theta_diff,vel_diff,size_diff,mlp_eval,cost_eval,cruise_mlp_eval,junction_mlp_eval,cyclist_keep_lane_eval,lane_scanning_eval,pedestrian_interaction_eval,junction_map_eval,lane_aggregating_eval,semantic_lstm_eval,jointly_prediction_planning_eval,vectornet_eval,unknown,throttle,brake,steering_rate,steering_target,acceleration,gear,num_obs,num_npc,min_obs_dist,speed_min_obs_dist,vol_min_obs_dist,dist_to_max_speed_obs,probability
260.094421386719,37.6412620544434,331.658081054688,1.58104860782623,100.151222229004,0.0886082947254181,0,0,0,12,1,5.645592884267732,1.338428836769865,1.3932249041115767,2.0516267933109367,0.7797340167887228,2.0305166289296244,0.5929083136867277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-1.8341607467068763,-0.5720605337811435,1,1,1,14.512433480631175,2.030516342086113,101.63293165177184,14.512433480631175,0
257.260986328125,37.7083358764648,332.176147460938,0.972865700721741,95.9673233032227,0.51435786485672,0,0,0,12,1,5.949618801640018,1.7485068549161988,1.4722339458620721,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-28.827152926365443,-0.5240896851302236,1,1,1,17.940170337400723,1.2036632102878329,101.43951786616479,17.940170337400723,0
262.701477050781,37.5592460632324,331.149444580078,2.15049338340759,101.180168151855,0.0212942380458117,0,0,0,12,1,4.786348408958343,1.5274223647691585,1.3760025606957984,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.780795688240424,0.0,100.0,-11.15175050838728,0.48608466105985787,1,1,1,10.787952846549183,2.478076671240928,102.90895010159615,10.787952846549183,0
265.379180908203,37.4513397216797,330.447875976563,2.30436873435974,105.063613891602,0.25066739320755,0,0,0,12,1,6.5175237434470885,1.6565047323388138,1.309011960493813,4.334019576901899,0.01921611214748964,0.34965694158284727,7.5243234099438885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.48590042523526,100.0,-5.35360338350236,-1.1493574037041594,1,1,1,7.614960006446829,0.34965690763841073,104.05254991621952,7.614960006446829,0.10863236880730105
265.934204101563,37.4139595031738,330.187286376953,0.759726047515869,104.901756286621,358.400482177734,0,0,0,12,1,0.06998270756163702,1.3436326657878683,1.313516541982205,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0,1,1,1,7.0166110973625315,0.051226427487493155,100.37453757480048,7.0166110973625315,1
265.924346923828,37.4163131713867,330.158538818359,1.31138360500336,104.938499450684,358.773834228516,0,0,0,12,1,0.033709837502417926,1.340568163060912,1.3139743245951525,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0,1,1,1,7.022642987321373,0.005760066555229759,100.37479764628848,7.022642987321373,0
265.921447753906,37.4175071716309,330.153289794922,1.70538794994354,104.941192626953,358.684387207031,0,0,0,12,1,0.004768041719611322,1.3376443498712487,1.3160180160978614,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0,1,1,1,7.025864616978755,0.0034119689598080287,100.3746635909733,7.025864616978755,0
265.920471191406,37.4178237915039,330.152984619141,1.85433042049408,104.948516845703,358.743835449219,0,0,0,12,1,0.0017910367513921184,1.3365901779813516,1.3156946239546092,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0,1,1,1,7.027338561577718,0.000762939453125,100.37471390025867,7.027338561577718,0
265.920104980469,37.4174270629883,330.152770996094,1.90616047382355,104.955894470215,358.793060302734,0,0,0,12,1,0.001789938625336342,1.3362179077675185,1.3153151170510702,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0,1,1,1,7.027630722580514,0.000762939453125,100.37491455091525,7.027630722580514,0
265.919952392578,37.4169006347656,330.152496337891,1.93155384063721,104.963401794434,358.794921875,0,0,0,12,1,0.001640086147565802,1.3360420762767768,1.3151863087756364,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0,1,1,1,7.02741885120314,0.000762939453125,100.3750050826491,7.02741885120314,0
