Episode,State,Action,Choosing_Type,Not Stop,Sudden Braking,Improper Passing,Improper Lane Changing,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[283.36804199  -6.56068897 -95.29243469   0.           0.5
   0.          12.           1.           0.9640556  103.74724579
 359.66296387   8.12837417   1.74792334   1.3320255   18.90193059
   4.9993308   14.10604698  18.90193059   0.           0.
  51.94377133   8.09108686  52.33081444  11.73111009   0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          24.4652783    0.         100.
  -0.51059295   1.71013886   1.        ]",9,by model,-1.0,-1.0,-1.0,-1.0,0.305,No collision,"[0, 0, 0, 0, 0.19616, 0.017152, 0.305455]",False
0,"[ 330.77038574   -7.27865839 -103.42303467    0.            0.
    1.           12.            1.            0.69011176   68.38660431
  359.03759766    5.62991738    1.34430011    5.09401986   16.03950471
    5.00292147   14.02923759  346.63864622    0.            0.
    0.96419612    6.12580909    4.71379514    1.16032569    0.
    0.            1.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.           20.00843319    0.          100.
   25.58258569    1.04754254    1.        ]",17,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.41661530e+02 -7.47840500e+00 -8.97645721e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.79329574e-01  2.00996933e+01  3.58047394e+02  3.45929545e+00
  1.34760042e+00  5.94126730e+00  5.56101998e+01  1.00003774e+01
  1.53823113e+02  5.56101998e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
  8.95658125e+00 -8.72627814e-02  1.00000000e+00]",11,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.46460571e+02 -7.52890778e+00 -7.21684570e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.40000000e+01 -1.00000000e+00
  1.34376362e-01  1.41020708e+01  3.58021515e+02  1.89340098e+00
  1.34788039e+00  6.04606750e+00  9.73646534e+01  9.99965568e+00
  1.50814282e+02  9.73646534e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
  3.96845766e-01 -4.98905575e-01  1.00000000e+00]",9,by model,-1.0,0.02098616109679598,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.47321320e+02 -7.53680706e+00 -6.88508682e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.40000000e+01 -1.00000000e+00
  1.03839599e-01  1.39807501e+01  3.57896606e+02  1.94966647e-01
  1.35179762e+00  6.04860183e+00  1.53931551e+02  1.00033908e+01
  1.51696114e+02  1.53931551e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.46274818e+01  0.00000000e+00  1.00000000e+02
  1.87953050e-01  1.82383404e-02  1.00000000e+00]",1,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.47432098e+02 -7.53819227e+00 -6.85208282e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  1.06518529e-01  1.39572496e+01  3.57875671e+02  5.41096116e-02
  1.34905991e+00  6.04918670e+00  2.14345855e+02  0.00000000e+00
  9.13573624e-01  3.54204731e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  2.23648449e-01  1.47897922e-02  1.00000000e+00]",9,by model,-1.0,0.011663879334288517,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.47494659e+02 -7.53929710e+00 -6.83763428e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.40000000e+01 -1.00000000e+00
  9.88085940e-02  1.39544039e+01  3.57865601e+02  3.68705705e-02
  1.34846896e+00  6.04926836e+00  2.14396403e+02  0.00000000e+00
  9.13573624e-01  3.54238202e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.71049925e+01  1.00000000e+02
  2.13049628e-01 -7.04387411e-03  1.00000000e+00]",1,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.47511993e+02 -7.53974199e+00 -6.83541641e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  9.62907746e-02  1.39524679e+01  3.57866760e+02  4.64792803e-03
  1.34812259e+00  6.04937003e+00  2.14411880e+02  0.00000000e+00
  9.13573624e-01  3.54250935e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.53606069e+01  1.00000000e+02
  2.13049628e-01 -8.35633595e-03  1.00000000e+00]",9,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.47527283e+02 -7.54026365e+00 -6.83530426e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.40000000e+01  1.00000000e+00
  1.01740941e-01  1.39622269e+01  3.57863220e+02  4.60284825e-03
  1.34809046e+00  6.04920146e+00  2.14427034e+02  0.00000000e+00
  9.13573624e-01  3.54265728e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.57675778e+01  1.00000000e+02
  2.13049628e-01 -3.06358295e-03  1.00000000e+00]",1,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.47536438e+02 -7.54053497e+00 -6.83460007e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01  0.00000000e+00
  9.37526077e-02  1.39598951e+01  3.57864868e+02  3.99219047e-02
  1.34853506e+00  6.04923351e+00  2.14435589e+02  0.00000000e+00
  9.13573624e-01  3.54273357e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.91383536e+01  1.00000000e+02
  2.13049628e-01 -1.71421320e-02  1.00000000e+00]",9,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
