Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Sudden Appearance,Overlapping,Repeated Collision,Unreal Pedes Col,Done
0,"[-1.91396179e+02  1.01993847e+01 -8.47989349e+01  2.00000003e-01
  1.90000000e+01 -1.00000000e+00  3.59861237e+02  3.13103394e+02
  1.61688834e-01  1.66811490e-01  7.00000000e+00  3.10677846e+00
  7.38281907e-03  1.34949766e+00  8.17764656e-01  1.15184435e+00
  1.98788459e-01  7.38281958e-03  8.48563607e+00  2.11072854e+01
  0.00000000e+00  1.00000000e+02 -6.68212721e-03  1.64291847e-01]",41,by model,0.433755,No collision,"[0.3805, 0.379323, 0.390968, 0.398955, 0.397267, 0.401925, 0.411284, 0.416805, 0.421317, 0.41964, 0.425388, 0.433755]",False,False,False,False,False
0,"[-1.91856293e+02  1.01985312e+01 -8.45017242e+01  2.00000003e-01
  1.90000000e+01 -1.00000000e+00  3.59623260e+02  3.12323334e+02
  5.65602183e-01  1.48287949e-01  8.00000000e+00  2.83611441e+00
  2.91924054e-03  1.35094342e+00  8.29547062e-01  1.16891036e+02
  2.43255063e+00  1.99997132e+01  4.92112250e+00  0.00000000e+00
  1.77493177e+01  1.00000000e+02 -1.93739230e+00 -5.39979645e-01]",44,randomly,0.615973,No collision,"[0.432389, 0.430933, 0.615973, 0.510376, 0.438645, 0.445209, 0.450925, 0.449097, 0.447964, 0.45077, 0.451395, 0.452473]",False,False,False,False,False
0,"[-1.92143402e+02  1.01996422e+01 -8.43393326e+01  2.00000003e-01
  1.90000000e+01 -1.00000000e+00  2.07483098e-02  3.11809479e+02
  3.59964508e+02  6.93080432e-03  9.00000000e+00  2.74112789e+00
  9.56007963e-03  1.34855198e+00  8.41245281e-01  1.17095863e+00
  1.85297653e-01  9.56007978e-03  8.44989730e+00  5.88973033e+01
  0.00000000e+00  1.00000000e+02 -3.64408419e-03  2.48552375e-01]",21,by model,0.469386,No collision,"[0.454793, 0.455046, 0.455227, 0.454605, 0.454551, 0.454739, 0.455015, 0.463467, 0.466539, 0.464496, 0.467286, 0.469386]",False,False,False,False,False
0,"[-1.92440201e+02  1.02005596e+01 -8.41532211e+01  2.00000003e-01
  1.90000000e+01  1.00000000e+00  3.59726135e+02  3.11450592e+02
  4.28257972e-01  1.26704999e-02  9.00000000e+00  2.65675154e+00
  1.39278902e-02  1.35034164e+00  8.45401132e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  9.74859759e+01
  0.00000000e+00  1.00000000e+02 -4.31682729e+00  2.69559312e+00]",20,by model,0.47634,No collision,"[0.470138, 0.468662, 0.468764, 0.470891, 0.471553, 0.471941, 0.471184, 0.47066, 0.470667, 0.475918, 0.47634, 0.474352]",False,False,False,False,False
0,"[-1.92739288e+02  1.02005024e+01 -8.39763107e+01  2.00000003e-01
  1.90000000e+01  1.00000000e+00  3.59938354e+02  3.10976074e+02
  1.52933955e-01  6.87259017e-03  1.00000000e+01  2.63197180e+00
  7.22844870e-03  1.34904021e+00  8.54928606e-01  1.17796836e+00
  1.85876997e-01  7.22844959e-03  8.31132905e+00  3.52287951e+01
  0.00000000e+00  1.00000000e+02 -4.05226492e+00  2.92528644e-01]",41,by model,0.474339,No collision,"[0.473416, 0.474339, 0.474201, 0.473916, 0.473635, 0.472823, 0.472578, 0.47252, 0.47219, 0.47201, 0.471931, 0.474218]",False,False,False,False,True
1,"[-6.59642944e+01  1.02043228e+01 -1.14572762e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  3.59955688e+02  2.23402496e+02
  1.94915310e-02  3.32513545e+00  0.00000000e+00  1.00000000e+02
  1.00000000e+02  1.51338578e+00 -7.57400759e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.73786000e+01
  0.00000000e+00  1.00000000e+02 -3.03044143e+00  1.00533600e+00]",13,by model,0.161286,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.161286]",False,False,False,False,False
1,"[-8.87518997e+01  1.02040987e+01 -1.38352646e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  3.19381803e-02  2.23491257e+02
  4.63956781e-03  4.64993779e+00  1.00000000e+00  7.21600503e+00
  0.00000000e+00  1.34846486e+00 -7.59078554e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.65679770e+01  1.00000000e+02  6.01381679e-02 -7.16797703e-01]",25,randomly,1,175668c0-5aa6-4fee-a422-1e3c9d727a96,"[0.483512, 1, 1, 0.459598, 0.454155, 1, 0.484132, 0.435375, 0.337193, 0.229744, 0.159136, 0.159136]",False,False,False,False,False
1,"[-9.31666565e+01  1.02044859e+01 -1.41578552e+02  0.00000000e+00
  1.90000000e+01 -1.00000000e+00  1.84097553e-05  2.49803650e+02
  1.12891348e-05  2.63188964e-05  1.00000000e+00  4.20431961e+00
  0.00000000e+00  1.34865363e+00 -1.21830380e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",16,by model,0.174394,No collision,"[0.159136, 0.159136, 0.159136, 0.159136, 0.159136, 0.174357, 0.174389, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394]",False,False,False,False,False
1,"[-9.32628632e+01  1.02044859e+01 -1.41619003e+02  0.00000000e+00
  1.90000000e+01  1.00000000e+00  2.70596274e-06  2.49621277e+02
 -1.27456963e-06  2.35548169e-05  2.00000000e+00  4.12803101e+00
  0.00000000e+00  1.34865494e+00 -1.21511969e+00  4.59886464e+01
  1.72552482e+00  1.00003826e+01  7.11071223e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",37,by model,0.174394,No collision,"[0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394]",False,False,False,False,False
1,"[-9.32628632e+01  1.02044849e+01 -1.41619003e+02  0.00000000e+00
  1.90000000e+01  1.00000000e+00  1.61078538e-06  2.49621277e+02
  6.28286534e-06  1.17947390e-05  3.00000000e+00  4.12803101e+00
  0.00000000e+00  1.34865494e+00 -1.21511969e+00  6.84543164e+01
  1.72774269e+00  3.99261799e+00  7.12357334e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",37,by model,0.174394,No collision,"[0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394, 0.174394]",False,False,False,False,False
