Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
1,"[ 1.18633507e+02 -4.13088608e+00 -6.26604271e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.73337030e+00  1.00705826e+02  3.59603546e+02  4.07630651e-04
  1.33032667e+00]",36,0.999,"[0, 0, 0, 0, 0, 0, 0, 0, 0.998658, 0, 0, 0]",False
1,"[ 1.18632034e+02 -4.13122940e+00 -6.26647530e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.75600028e+00  1.00585373e+02  3.59590607e+02  2.24721830e-04
  1.32967524e+00]",5,0.999,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.998658]",False
1,"[ 1.18630806e+02 -4.13146496e+00 -6.26679344e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.77284026e+00  1.00490379e+02  3.59510803e+02  2.08092092e-03
  1.32968755e+00]",22,0.999,"[0, 0, 0, 0.998658, 0, 0, 0, 0, 0, 0, 0, 0]",True
2,"[-35.46324921  -1.52118444 -13.18962288   0.           0.
   0.          12.          -1.           1.3011986  105.77851868
 358.98147583   4.66665089   3.99113346]",6,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-3.08437233e+01 -1.65115440e+00 -1.45031910e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.68844903e+00  1.05894974e+02  3.59168335e+02  6.02764648e-05
  2.86393598e+00]",27,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-3.08437233e+01 -1.65115440e+00 -1.45031910e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.68844879e+00  1.05894974e+02  3.59168335e+02  6.02176223e-05
  2.86355827e+00]",6,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-3.08437233e+01 -1.65115440e+00 -1.45031910e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.68844998e+00  1.05894974e+02  3.59168335e+02  6.01915363e-05
  2.86335434e+00]",49,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-10.29100513  -1.9473418  -19.86571503   0.           0.2
   0.          12.          -1.           0.23215304 100.86066437
   0.21901327   4.88198748   7.44027791]",42,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 47.82546997  -2.9542923  -32.57515717   0.           0.2
   0.          12.           1.           0.93199831 106.93403625
   0.70204532   9.46886567  19.15888248]",40,1.0,"[0, 0.00898, 0.27636, 0.480202, 1, 0.189547, 0.185024, 0.183794, 0.181872, 0.18084, 0.187258, 0.188492]",False
2,"[ 7.10108871e+01 -3.36872554e+00 -3.92626839e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.02959895e+00  1.03605324e+02  3.59407135e+02  8.74295351e-03
  5.94922631e+00]",39,0.214,"[0.187193, 0.191964, 0.197315, 0.196286, 0.199277, 0.201396, 0.201243, 0.202398, 0.209746, 0.210107, 0.210968, 0.213997]",False
2,"[ 7.12027206e+01 -3.37065816e+00 -3.92365379e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.22856092e-01  1.04177376e+02  3.59442444e+02  7.75908552e-03
  2.69768950e+01]",49,0.227,"[0.214633, 0.213713, 0.213624, 0.213639, 0.213999, 0.214988, 0.215897, 0.21628, 0.219741, 0.223922, 0.223659, 0.226912]",False
2,"[ 7.13122101e+01 -3.37025189e+00 -3.92137909e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.97901905e-01  1.04849693e+02  3.59695007e+02  1.70231231e-02
  1.49266476e+01]",28,1.0,"[0.99997, 0.224149, 0.22389, 0.22553, 0.227447, 0.228292, 0.233456, 0.234389, 0.234762, 0.237295, 0.999971, 0.235663]",False
2,"[ 7.14020004e+01 -3.36999321e+00 -3.91889992e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.10686767e+00  1.05295441e+02  3.59475525e+02  3.63868940e-03
  4.92350726e+01]",32,1.0,"[0.235347, 0.235119, 0.237484, 0.241555, 0.244482, 0.244554, 0.999971, 0.24265, 0.242423, 0.242253, 0.242179, 0.242166]",False
2,"[ 7.14668121e+01 -3.36880803e+00 -3.91732635e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.11351669e+00  1.05652481e+02  3.59565308e+02  6.36512976e-05
  6.88561960e+01]",24,0.253,"[0.242958, 0.245059, 0.245737, 0.246262, 0.246908, 0.247525, 0.25151, 0.251813, 0.251373, 0.252535, 0.25231, 0.251622]",False
2,"[ 7.15536575e+01 -3.37107873e+00 -3.91546783e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.10293090e+00  1.06268723e+02  3.59532166e+02  2.25378349e-03
  4.16563237e+01]",31,1.0,"[0.251403, 0.251312, 0.25129, 0.25328, 0.25396, 0.258015, 0.258378, 0.257894, 0.999972, 0.256979, 0.256747, 0.257836]",False
