Episode,State,Action,Reward,Done
0,"[-38.1215477   -1.45334661 -12.39201164   0.           0.
   0.          12.          -1.           1.40861869 105.12698364
 359.0491333    1.92822615]",22,0.0,False
0,"[-38.1215477   -1.45334661 -12.39201164   0.           0.
   0.          12.          -1.           1.40861869 105.12698364
 359.0491333    1.92822615]",3,0.0,False
0,"[-3.71612129e+01 -1.47736502e+00 -1.26577253e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.41139746e+00  1.05203796e+02  3.59050140e+02  1.09246328e-03]",39,0.0,False
0,"[-3.58988380e+01 -1.50905991e+00 -1.30053015e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.39664972e+00  1.05249962e+02  3.59046295e+02  1.66648997e+00]",34,0.0,False
0,"[-3.53764496e+01 -1.52213430e+00 -1.31493692e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.39899659e+00  1.05306984e+02  3.59063080e+02  5.23607942e-05]",12,0.406,False
0,"[ 1.70214534e+00 -2.10606885e+00 -2.35045586e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  1.08986187e+00  1.06125969e+02  5.17314486e-02  1.44302388e+01]",13,1.0,False
0,"[ 7.68111038e+01 -3.44189692e+00 -3.97742882e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  7.83737123e-01  9.93457336e+01  3.59632111e+02  1.02834666e+01]",43,0.999,False
0,"[138.02754211  -4.19623804 -55.14849854   0.2          0.
   0.2         14.          -1.           0.45708069 103.79409027
   0.28258198  10.24496417]",0,0.999,False
0,"[ 1.76521896e+02 -4.65575647e+00 -6.68582306e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  7.24952161e-01  1.05810158e+02  1.05932750e-01  5.65523294e+00]",27,0.998,False
0,"[ 2.08151688e+02 -5.14542294e+00 -7.60857697e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  9.95699108e-01  1.05179497e+02  3.58697174e+02  5.54223184e+00]",32,1.0,False
0,"[ 2.28340195e+02 -5.54248762e+00 -8.06602249e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  6.98367178e-01  1.01520523e+02  3.59432251e+02  3.81280085e-03]",14,1.0,False
0,"[ 2.28341095e+02 -5.54420376e+00 -8.06697922e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  8.83587599e-01  1.01436882e+02  3.59437958e+02  2.59007230e-03]",20,1.0,False
0,"[ 2.28342239e+02 -5.54564190e+00 -8.06781998e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  1.02180636e+00  1.01393936e+02  3.59431458e+02  1.67769569e-04]",3,0.999,False
0,"[ 2.28345718e+02 -5.54695177e+00 -8.06873245e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  9.39563096e-01  1.01305840e+02  3.59425293e+02  9.40264045e-04]",39,1.0,False
0,"[ 2.28343674e+02 -5.54773998e+00 -8.06969757e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  1.12892449e+00  1.01227127e+02  3.59441528e+02  1.26866544e-03]",46,0.0,True
1,"[-4.00680351e+01 -1.40278125e+00 -1.18608723e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.48025215e+00  1.04985275e+02  3.59167725e+02  9.61586564e-04]",11,0.0,False
