Episode,State,Action,Collision_Probability,Collision_Probability_Per_StepDone
1,"[ 4.18989639e+01 -2.84195924e+00 -2.82157879e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.06656933e+00  1.00905327e+02  3.66743654e-01  4.48324629e-05]",47,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.18989639e+01 -2.84195924e+00 -2.82157879e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.06656957e+00  1.00905327e+02  3.66743982e-01  4.40168686e-05]",44,0.257,"[0, 0, 0, 0, 0.013843, 0.085963, 0.142402, 0.190175, 0.226847, 0.251255, 0.256853, 0.243223]",False
1,"[ 4.18989639e+01 -2.84195924e+00 -2.82157879e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.06656957e+00  1.00905327e+02  3.66743982e-01  4.32057147e-05]",42,0.211,"[0.211362, 0.200016, 0.200016, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.18989639e+01 -2.84195900e+00 -2.82157879e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.06656921e+00  1.00905327e+02  3.66743475e-01  4.32441113e-05]",9,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
2,"[-37.31738281  -1.47345424 -12.60329533   0.           0.
   0.          12.          -1.           1.3590852  105.01477814
 359.05654907   3.15157168]",10,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-2.89316769e+01 -1.70265400e+00 -1.48754520e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.67620730e+00  1.05254059e+02  3.59295532e+02  5.96768823e-05]",8,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-2.89316750e+01 -1.70266354e+00 -1.48760214e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.67621469e+00  1.05254059e+02  3.59295197e+02  5.95474946e-05]",48,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-2.89316750e+01 -1.70267332e+00 -1.48765917e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.67622292e+00  1.05254066e+02  3.59294830e+02  5.95340392e-05]",31,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-11.23314667  -1.94092643 -19.89085388   0.           1.
   0.          12.          -1.           0.22767918 108.73514557
   0.24683949   4.54526503]",49,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 49.36797714  -3.01394773 -35.55239105   0.           1.
   0.          12.           1.           0.94862813 108.5306778
 358.76623535   9.68881269]",18,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[100.85452271  -3.80744743 -48.67426682   0.           1.
   0.          12.          -1.           0.6819979  101.56433105
 359.12182617   6.49443751]",34,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[127.60809326  -4.0751729  -54.58139801   0.           1.
   0.          12.          -1.           0.75971794 103.89474487
 359.76782227   1.70633331]",16,1.0,"[0, 0, 0, 0, 0, 0, 0, 0.99975, 0.99973, 0.999702, 0.999677, 0.999657]",False
2,"[127.90332031  -4.07893515 -54.6689415    0.           1.
   0.          12.          -1.           0.71654838 103.89701843
 359.74832153   1.26522567]",9,1.0,"[0.999635, 0.999607, 0.999575, 0.999543, 0.999509, 0.99948, 0.999452, 0, 0.999394, 0.999365, 0.999335, 0.999302]",False
2,"[ 1.23470299e+02 -4.02990866e+00 -5.35853081e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  5.63486695e-01  1.03899780e+02  3.59683289e+02  1.21973176e+00]",12,1.0,"[0.999786, 0.999762, 0.999732, 0.999701, 0.999667, 0.99963, 0.99959, 0.999557, 0.999526, 0.999497, 0.999463, 0.999425]",False
2,"[ 1.14153725e+02 -3.94359112e+00 -5.13029747e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  6.03659987e-01  1.03735374e+02  3.59546844e+02  2.12462063e+00]",13,0.999,"[0.999387, 0.999349, 0.999313, 0.99928, 0.999249, 0.999216, 0.999182, 0.99915, 0.999116, 0.999081, 0.999047, 0.999011]",False
2,"[ 1.06557304e+02 -3.86526251e+00 -4.94567833e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  5.90335906e-01  1.03736015e+02  3.59450073e+02  1.47500818e+00]",45,0.999,"[0.998976, 0, 0.998918, 0.998894, 0.998871, 0.998846, 0.998818, 0, 0.998822, 0.998819, 0.998814, 0.99881]",False
2,"[ 1.08025032e+02 -3.88055587e+00 -4.98268471e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  5.90414703e-01  1.03739655e+02  3.59448364e+02  6.64186847e-01]",15,0.999,"[0.998663, 0, 0.99881, 0.998808, 0.998553, 0.998525, 0.998494, 0.998466, 0.998437, 0, 0.998381, 0.998353]",False
2,"[ 1.07790207e+02 -3.87825871e+00 -4.97784081e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  5.86824715e-01  1.03770164e+02  3.59442108e+02  1.07675549e-01]",28,1.0,"[0, 0.999786, 0.998267, 0.998237, 0.99973, 0.99971, 0.999692, 0.999673, 0.999649, 0.999622, 0.999593, 0.999564]",False
2,"[ 1.04734940e+02 -3.84557033e+00 -4.90398140e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  5.55779278e-01  1.03734718e+02  3.59428406e+02  4.15563060e-02]",41,1.0,"[0.999791, 0.999773, 0.999748, 0.999726, 0, 0, 0.999661, 0.99963, 0.999599, 0.999567, 0.999531, 0.999497]",False
2,"[ 1.01024300e+02 -3.80179763e+00 -4.81464691e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  6.09542787e-01  1.03666847e+02  3.59408569e+02  9.28446166e-01]",37,1.0,"[0.999788, 0.999775, 0.999752, 0.999721, 0.999691, 0.999669, 0.999652, 0.999635, 0.999614, 0.999588, 0.999557, 0]",False
2,"[ 9.71581955e+01 -3.75543284e+00 -4.72174263e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  5.55133522e-01  1.03002800e+02  3.59376984e+02  1.89130094e-03]",26,1.0,"[0.999892, 0.99987, 0.999841, 0.999812, 0.99978, 0.999745, 0.99971, 0.999676, 0.999641, 0.999603, 0.99957, 0.999537]",False
2,"[ 9.03210983e+01 -3.66884923e+00 -4.56431999e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  7.79225707e-01  1.03048187e+02  3.59189606e+02  1.79522997e+00]",41,1.0,"[0.999784, 0.999758, 0.999726, 0.99969, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.61742249e+01 -3.60953856e+00 -4.46991043e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  7.79445767e-01  1.02152817e+02  3.58957947e+02  6.10336091e-05]",12,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.61742249e+01 -3.60953856e+00 -4.46991043e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01  0.00000000e+00
  7.79446125e-01  1.02152817e+02  3.58957947e+02  6.09956553e-05]",36,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.61742249e+01 -3.60953856e+00 -4.46991043e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  7.79445410e-01  1.02152817e+02  3.58957947e+02  6.10950206e-05]",45,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.61742249e+01 -3.60953856e+00 -4.46991043e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  7.79445827e-01  1.02152817e+02  3.58957947e+02  6.10502674e-05]",18,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
