Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-38.7195816   -1.43839216 -12.22942734   0.           0.
   0.          12.          -1.           1.26577163 105.09664917
 359.05450439   2.60191483]",19,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26565590e+01 -1.59514797e+00 -1.38974361e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59779632e+00  1.05373421e+02  3.59121185e+02  5.63347877e-05]",17,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26565590e+01 -1.59514797e+00 -1.38974361e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59779358e+00  1.05373421e+02  3.59121185e+02  5.58165715e-05]",11,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26565590e+01 -1.59514797e+00 -1.38974361e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59779346e+00  1.05373421e+02  3.59121185e+02  5.58135246e-05]",41,0.176,"[0, 0, 0, 0, 0, 0, 0, 0, 0.105712, 0.176122, 0.146971, 0.143455]",False
0,"[ -1.14815116  -2.04252195 -22.78426361   0.           0.
   1.          12.          -1.           1.28455043 105.84044647
   0.10973681  11.39394413]",30,0.021,"[0.020642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 56.936409    -3.11852717 -36.03594589   0.           0.
   1.          12.           1.           0.94856024 102.91728973
   0.48063549   9.06783634]",1,0.782,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.259827, 0.684587, 0.781691]",False
0,"[ 1.06757545e+02 -3.86407137e+00 -4.91099091e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.57759863e-01  1.06350227e+02  3.59678833e+02  1.03404645e+01]",9,0.578,"[0.577811, 0.318783, 0.112594, 0.013081, 0, 0, 0, 0, 0, 0, 0, 0]",False
