x,y,z,rx,ry,rz,rain,fog,wetness,timeofday,signal,speed,local_diff,local_angle,dis_diff,theta_diff,vel_diff,size_diff,mlp_eval,cost_eval,cruise_mlp_eval,junction_mlp_eval,cyclist_keep_lane_eval,lane_scanning_eval,pedestrian_interaction_eval,junction_map_eval,lane_aggregating_eval,semantic_lstm_eval,jointly_prediction_planning_eval,vectornet_eval,unknown,throttle,brake,steering_rate,steering_target,acceleration,gear,num_obs,num_npc,min_obs_dist,speed_min_obs_dist,vol_min_obs_dist,dist_to_max_speed_obs,probability
286.156005859375,36.7880973815918,316.619659423828,0.976699233055115,119.661254882813,0.32107475399971,0,0,0,12,1,6.612166451952914,1.8764768192249037,1.055799616821628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-9.171868770246318,0.0730047785438166,1,0,0,100000,1000,1000,100000,0
288.924499511719,36.741039276123,314.828308105469,0.654225528240204,123.80615234375,0.334881216287613,0,0,0,12,1,6.576469061831627,1.5426614286616571,0.9807965789382874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-7.756621126913153,0.20639032268324137,1,0,0,100000,1000,1000,100000,0
291.553314208984,36.7135429382324,312.869323730469,0.32275128364563,127.368865966797,0.238071441650391,0,0,0,12,1,6.465588508287621,1.4113178962823294,0.9178456258698579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-6.576357671594158,0.5729039706779514,1,0,0,100000,1000,1000,100000,0
294.060516357422,36.7054176330566,310.755340576172,359.969970703125,130.878921508789,0.213265657424927,0,0,0,12,1,6.513022194068241,1.4800619267520103,0.8571491878922435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.39762006930929,0.0,100.0,-5.221112961912002,1.259769183583617,1,0,0,100000,1000,1000,100000,0
296.494293212891,36.7153739929199,308.490142822266,359.669219970703,133.431243896484,0.115992181003094,0,0,0,12,1,6.6926006259807505,1.8209867144739396,0.814305000179604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-6.153985396961578,0.4579142517984114,1,0,0,100000,1000,1000,100000,0
298.899871826172,36.7230606079102,306.048553466797,0.0629236623644829,136.034957885742,0.159216314554214,0,0,0,12,1,6.987944672259181,1.906717312493841,0.7695530621901528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.198219414624745,0.0,100.0,-3.7844522182842315,2.0127094461951582,1,0,0,100000,1000,1000,100000,0
301.378540039063,36.6983299255371,303.364135742188,0.56958532333374,137.595764160156,0.167447432875633,0,0,0,12,1,7.909431529143239,1.7368536413900222,0.740407030495363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-3.78638358688331,0.04188166512950764,1,0,0,100000,1000,1000,100000,0
304.056640625,36.6274681091309,300.290374755859,1.25992941856384,139.633605957031,0.315946340560913,0,0,0,12,1,8.458326952925308,1.678561635220701,0.704859772588517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-0.1194943694042256,-0.18228068386823382,1,0,0,100000,1000,1000,100000,0
306.868988037109,36.5012588500977,296.971405029297,1.98984432220459,139.486358642578,0.163289070129395,0,0,0,12,1,8.850192907154266,1.6008345502449617,0.7059175427478411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-1.2442735944122005,-0.11862166950353562,1,0,0,100000,1000,1000,100000,0
309.753143310547,36.3347434997559,293.530883789063,2.14259052276611,140.589416503906,0.289939999580383,0,0,0,12,1,9.123872891531745,1.334546811498863,0.6865050220545681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,3.7484052196125908,-0.11942188192091188,1,0,0,100000,1000,1000,100000,0
312.69580078125,36.167423248291,290.098175048828,2.05483794212341,138.526473999023,359.890411376953,0,0,0,12,1,8.976041264231576,1.9636213096704562,0.7209221506150073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-3.5664243520675827,-0.35293172609871615,1,0,0,100000,1000,1000,100000,0
315.582946777344,36.0116081237793,286.719177246094,2.04263734817505,140.549011230469,0.324091345071793,0,0,0,12,1,8.81880151836797,1.5997235450131597,0.6892059160043379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,6.573464924426853,-0.35382227448194065,1,0,0,100000,1000,1000,100000,0
318.453247070313,35.8592720031738,283.459625244141,2.06600427627563,136.819747924805,359.650939941406,0,0,0,12,1,8.536110291790967,1.5912703022246435,0.7520590967752853,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.762751973072694,100.0,-10.005487329608506,-0.6616571248924092,1,1,1,16.70289448848284,3.0365394944220796,155.1668854603467,16.70289448848284,0.015998742674316925
321.158874511719,35.7127380371094,280.277038574219,2.06770849227905,141.734848022461,0.579180598258972,0,0,0,12,1,8.148581048314943,1.6620767260457607,0.6700066424025436,3.5617865911060904,6.382022707702447,1.4469720279146288,2.596218278415087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.979076402801255,100.0,16.57183009964082,-1.496386776795472,1,1,1,13.733587683478055,1.4469717966394986,151.4851181188461,13.733587683478055,0
323.709320068359,35.5806427001953,277.528472900391,2.21815848350525,134.260711669922,359.335083007813,0,0,0,12,1,6.873226256904734,1.4708649017677662,0.798969336926571,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-28.66590398724306,-0.44398177262057004,1,1,1,11.401608876726142,1.0257283999782367,156.74641490676606,11.401608876726142,0
325.711578369141,35.4650764465332,274.941345214844,2.08336806297302,145.213531494141,0.984887659549713,0,0,0,12,1,6.3809912518238745,1.7787994063572745,0.6131195293789687,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.8505018346134,100.0,24.01908508922083,-0.807542638217065,1,1,1,9.783605919126432,1.7999554761482204,151.26156187892795,9.783605919126432,0.04952985708268171
327.682708740234,35.3679275512695,272.772735595703,1.91135656833649,134.986602783203,359.229248046875,0,0,0,12,1,5.592540648436087,1.7250791394349354,0.7809073822607311,1.7753663095289314,6.346382606693965,2.2626371410982355,1.0985959878841487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29.27170270179292,100.0,-24.00346049045232,-0.9083947609175602,1,1,1,8.181932689995977,2.262637124858959,155.33148510843637,8.181932689995977,0
329.217041015625,35.2901420593262,270.725463867188,1.79329323768616,144.681518554688,0.62550163269043,0,0,0,12,1,4.840192735477733,1.3369949218950772,0.613549572091458,100.0,10.0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,20.581659299251996,-0.4748938987975161,1,1,1,7.501227462276443,0.5151814683125999,153.0912383690495,7.501227462276443,0.05008704838366969
