x,y,z,rx,ry,rz,rain,fog,wetness,timeofday,signal,speed,local_diff,local_angle,dis_diff,theta_diff,vel_diff,size_diff,mlp_eval,cost_eval,cruise_mlp_eval,junction_mlp_eval,cyclist_keep_lane_eval,lane_scanning_eval,pedestrian_interaction_eval,junction_map_eval,lane_aggregating_eval,semantic_lstm_eval,jointly_prediction_planning_eval,vectornet_eval,unknown,throttle,brake,steering_rate,steering_target,acceleration,gear,num_obs,num_npc,min_obs_dist,speed_min_obs_dist,vol_min_obs_dist,dist_to_max_speed_obs
259.838500976563,37.6321640014648,328.553070068359,1.41131603717804,104.042572021484,0.17295053601265,0,0,0,14,1,7.995124379752894,1.8924419952942428,1.3268150031983197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.634536730915052,100.0,-3.4517584437234157,-0.9155596591507149,1,0,0,100000,1000,1000,100000
263.619537353516,37.4957160949707,327.522125244141,2.4103798866272,105.791603088379,0.201562911272049,0,0,0,14,1,7.936215650767723,1.3326485134566504,1.2942487394900501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.471989219452595,0.0,100.0,-2.8428180972822843,1.7582228605457522,1,0,0,100000,1000,1000,100000
267.489807128906,37.3004188537598,326.341735839844,3.11613774299622,107.566459655762,0.22330430150032,0,0,0,14,1,8.23467088235013,1.9833458576875358,1.2662179202892052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.57360579035321,0.0,100.0,-3.9460921406040814,1.1673256673252868,1,0,0,100000,1000,1000,100000
271.466918945313,37.1080474853516,324.965057373047,1.9045147895813,109.897850036621,0.31367501616478,0,0,0,14,1,8.465150584976117,1.3361931605050434,1.222074104609888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,-3.953770334559616,1.4233737304895977,1,0,0,100000,1000,1000,100000
275.482086181641,37.0100517272949,323.379272460938,0.888448357582092,112.51651763916,0.336192786693573,0,0,0,14,1,8.697051739454002,1.8639902807365127,1.1799043140413408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.741485794698423,0.0,100.0,-5.845826339675177,0.5263112387910613,1,0,0,100000,1000,1000,100000
279.478881835938,36.9366722106934,321.541259765625,1.033327460289,115.914894104004,0.434544056653976,0,0,0,14,1,8.832634348404643,2.049832415875571,1.1223030064290902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,8.402478497977032,0.19291356755805883,1,0,0,100000,1000,1000,100000
283.397827148438,36.8559150695801,319.647491455078,1.11968588829041,115.658111572266,0.0889046564698219,0,0,0,14,1,8.59273325394096,1.3415000991598416,1.1225724972326974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.5,100.0,-22.405688651564102,-0.5722403918886122,1,0,0,100000,1000,1000,100000
286.841125488281,36.7825584411621,317.398651123047,1.02025163173676,127.052513122559,1.02356517314911,0,0,0,14,1,7.909255817043021,1.7381234813607245,0.9283241051476624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.474607596069626,100.0,3.261459950978197,-0.05822844107295955,1,0,0,100000,1000,1000,100000
290.016265869141,36.7317314147949,315.141082763672,0.565923988819122,124.157402038574,359.862670898438,0,0,0,14,1,7.793158082360416,1.8119661881619458,0.9718442164799191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.441860903947735,100.0,-24.286494302424337,-0.060738393764952214,1,0,0,100000,1000,1000,100000
292.839172363281,36.7075119018555,312.573547363281,0.201679155230522,135.990905761719,0.860161542892456,0,0,0,14,1,7.5800836036874335,1.4988316980458278,0.7673717192270676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0.0,100.0,21.925116857347856,0.29280619604056446,1,0,0,100000,1000,1000,100000
