Episode,Step,State,Action,Reward,Collision Probability,Collision Probability List,Action_Description,Done
1,2,"[-1.22137520e+02  1.02041130e+01 -1.51040375e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59889526e+02  3.09217468e+02
  9.04112607e-02  6.00967995e+00  2.00000000e+00  3.51327620e+01
  0.00000000e+00  1.34932720e+00  8.85912600e-01  6.60185512e+00
  1.08140360e-01  2.44534741e-01  7.38457480e-01  6.92823321e+01
  0.00000000e+00  1.00000000e+02 -3.75850942e+00  3.03138799e+00]",111,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,False
1,3,"[-1.63973770e+02  1.02033577e+01 -1.10913086e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  5.19167967e-02  3.13221741e+02
  3.59818756e+02  9.07002960e+00  2.00000000e+00  3.05324096e+01
  1.06289816e-01  1.34833169e+00  8.17264237e-01  2.93494845e+00
  1.31649814e-01  1.31811434e+00  3.49208654e+00  0.00000000e+00
  2.52983880e+01  1.00000000e+02 -9.96842197e-01 -1.70988403e+00]",139,0.268942,0.268942,"[0, 0.140272, 0, 0.268942, 0, 0, 0, 0, 0, 0.041626, 0.122898, 0.182839]",A pink SchoolBus is crossing the road from left to right (near) and switching lane.,False
1,4,"[-1.84071060e+02  1.02044888e+01 -9.14756393e+01  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  5.14897332e-02  3.14491302e+02
  1.37237497e-04  1.17724527e+00  3.00000000e+00  4.21816994e+00
  0.00000000e+00  1.34832057e+00  7.94264769e-01  7.54333671e-01
  5.45189219e-03  0.00000000e+00  7.42234822e-01  0.00000000e+00
  1.78222403e+01  1.00000000e+02 -1.82413973e-01 -7.39334420e-01]",112,0.226208,0.226208,"[0.222572, 0.226177, 0.226206, 0.226208, 0.226208, 0.226208, 0.226208, 0.226208, 0.226208, 0.226208, 0.226208, 0.226208]",A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,False
1,5,"[-1.84556335e+02  1.02044849e+01 -9.09983139e+01  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  2.06744589e-05  3.14503265e+02
  7.76392608e-06  2.41546351e-05  4.00000000e+00  3.86896862e+00
  0.00000000e+00  1.34865821e+00  7.94074537e-01  5.02608886e+01
  1.57138003e+00  0.00000000e+00  4.34906915e+00  0.00000000e+00
  4.46248935e+01  1.00000000e+02 -2.00497628e-01 -9.52844986e-03]",142,0.518685,0.518685,"[0.226259, 0.228591, 0.228821, 0.518685, 0.231649, 0.235645, 0.236185, 0.237551, 0.25768, 0.257005, 0.257013, 0.257013]",A pink Jeep is crossing the road from left to right (near) and switching lane.,False
1,6,"[-1.84826508e+02  1.02044840e+01 -9.07329483e+01  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.53920659e-05  3.14475800e+02
  4.01492707e-06  9.65060594e-06  5.00000000e+00  3.71494709e+00
  0.00000000e+00  1.34866398e+00  7.94554532e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  0.00000000e+00
  6.99986409e+01  1.00000000e+02 -2.18689555e-01 -3.00000000e+00]",108,0.257013,0.257013,"[0.257013, 0.257013, 0.257013, 0.257013, 0.136944, 0, 0, 0, 0, 0, 0, 0]",A red Hatchback is crossing the road from right to left (near) and switching lane.,False
1,7,"[-1.88113739e+02  1.02043715e+01 -8.74934616e+01  0.00000000e+00
  1.00000000e+01  1.00000000e+00  3.59848236e+02  3.14591858e+02
  2.76830368e-04  1.43671518e+00  5.00000000e+00  3.09125346e+01
  9.99977616e+00  1.34959128e+00  7.92533503e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  9.43492064e+01
  0.00000000e+00  1.00000000e+02 -1.36587763e-01  2.88669215e+00]",132,0.227076,0.227076,"[0, 0, 0.227076, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A pink SUV is crossing the road from left to right (far) and switching lane.,False
1,8,"[-2.13622803e+02  1.02042809e+01 -6.49838791e+01  0.00000000e+00
  1.00000000e+01  1.00000000e+00  8.67288262e-02  2.95168396e+02
  3.59699066e+02  3.79395182e+00  6.00000000e+00  5.69346387e+01
  1.00000897e+01  1.34811997e+00  1.13289597e+00  9.75504976e+00
  1.36480449e-01  4.37387501e-01  4.45235170e-01  0.00000000e+00
  1.45000000e+01  1.00000000e+02  3.30750836e+01 -4.10767023e-01]",43,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,False
1,9,"[-2.25076279e+02  1.02042961e+01 -7.91703949e+01  0.00000000e+00
  1.00000000e+01  0.00000000e+00  3.59839905e+02  1.75725037e+02
  3.59812469e+02  5.70408561e+00  7.00000000e+00  1.52672537e+01
  9.99924761e+00  1.34962771e+00  7.54594995e-02  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  7.32056201e+01
  0.00000000e+00  1.00000000e+02  8.21075463e+00  3.52547295e+00]",33,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A pink SUV is crossing the road from right to left (far) and switching lane.,False
1,10,"[-2.16307175e+02  1.02029219e+01 -1.34070358e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  1.74889155e-02  1.74479523e+02
  3.59819531e-01  1.04838586e+01  8.00000000e+00  5.01864134e+01
  1.00002534e+01  1.34854278e+00  9.47124786e-02  1.01534266e+02
  6.22983857e+00  2.00003192e+01  2.79623581e+00  0.00000000e+00
  2.48077227e+01  1.00000000e+02  2.47991653e+01 -9.58535129e-01]",70,-1,0.068288,"[0, 0.068288, 0, 0, 0, 0, 0, 0.061534, 0, 0, 0, 0]",A red SUV is crossing the road from right to left (near) and maintaining lane.,False
1,11,"[-2.10624023e+02  1.02043171e+01 -1.70675339e+02  0.00000000e+00
  1.00000000e+01  1.00000000e+00  2.97593419e-02  1.70365463e+02
 -2.42910719e-05  3.26009465e+00  9.00000000e+00  5.76464002e+01
  5.67146118e+00  1.34847110e+00  1.68149311e-01  1.30735876e+01
  3.13736688e+00  5.67146204e+00  9.13591915e-01  0.00000000e+00
  2.60143248e+01  1.00000000e+02  1.16905764e-01 -1.50954708e+00]",87,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,False
