Episode,Step,State,Action,Reward,Collision Probability,Collision Probability List,Action_Description,Done
45,0,"[ -68.68070984   10.20407295 -116.64819336    0.           10.
   -1.          359.86486816  223.13308716    0.5829972     6.33118314
    0.          100.          100.            1.90761891   -0.74348869
    0.            0.            0.            0.           16.96051722
    0.          100.          -15.58779215    1.23291298]",57,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white Hatchback is driving ahead (far) of the ego vehicle and switching lane.,False
45,1,"[-9.96443176e+01  1.02040005e+01 -1.49285248e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  1.21454932e-01  2.24218277e+02
  3.38751525e-02  4.49386907e+00  1.00000000e+00  1.74023478e+01
  5.00002282e+00  1.34790465e+00 -7.71909806e-01  1.62315175e+00
  1.57157501e-01  1.55727275e+00  1.03299642e+00  0.00000000e+00
  4.09638720e+01  1.00000000e+02 -3.08487364e+00 -3.11241174e+00]",139,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A pink SchoolBus is crossing the road from left to right (near) and switching lane.,False
45,2,"[-1.16020157e+02  1.02045374e+01 -1.56139282e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  7.54055977e-02  2.87905151e+02
  3.59978760e+02  5.55067145e-01  2.00000000e+00  9.33440936e+00
  0.00000000e+00  1.34818620e+00  1.25838728e+00  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  8.24724169e+01
  0.00000000e+00  1.00000000e+02 -4.99390274e+01  2.11955668e+00]",20,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white Hatchback is driving ahead (far) of the ego vehicle and switching lane.,False
45,3,"[-1.46322357e+02  1.02029581e+01 -1.28686493e+02  0.00000000e+00
  1.00000000e+01  1.00000000e+00  3.59982544e+02  3.14911713e+02
  4.00157869e-02  1.01758207e+01  3.00000000e+00  2.28090148e+01
  1.04171233e+01  1.34876514e+00  7.86758100e-01  7.93350736e+01
  3.12202776e+00  8.55477304e+00  2.72714223e+00  0.00000000e+00
  2.01807433e+01  1.00000000e+02  2.32429563e+00 -1.74370460e-01]",68,7.5,1,"[0.384573, 0.711939, 1, 0.5143, 0.502309, 0.499126, 0.498425, 0.499162, 0.499584, 0.49909, 0.499302, 0.499194]",A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,False
45,4,"[-1.56676529e+02  1.02070398e+01 -1.19307121e+02  0.00000000e+00
  1.00000000e+01  1.00000000e+00  3.59436218e+02  3.05154053e+02
  8.89998853e-01  1.04523106e-02  4.00000000e+00  2.50427041e+00
  1.66552059e-03  1.35206025e+00  9.53196272e-01  9.57012763e+01
  4.17513768e+00  9.99922157e+00  3.62917432e+00  9.03042650e+01
  0.00000000e+00  1.00000000e+02 -2.36495383e+01  4.26155719e-01]",120,0.498646,0.498646,"[0.498523, 0.497232, 0.496989, 0.496788, 0.496366, 0.496848, 0.497161, 0.496824, 0.498635, 0.498646, 0.498492, 0.497027]",A yellow Sedan is driving from the opposite direction (near) and switching lane.,False
45,5,"[-1.56720337e+02  1.02066517e+01 -1.19312508e+02  0.00000000e+00
  1.00000000e+01  1.00000000e+00  3.59656799e+02  3.05602783e+02
  6.31854057e-01  3.56232115e-03  5.00000000e+00  2.51509229e+00
  3.83372331e-03  1.35074753e+00  9.46538950e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  9.70827628e+01
  0.00000000e+00  1.00000000e+02 -2.36495383e+01  2.64014832e+00]",22,0.498052,0.498052,"[0.498052, 0.49786, 0.497555, 0.496486, 0.497336, 0.497173, 0.496127, 0.495857, 0.495755, 0.495507, 0.494875, 0.494545]",A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,False
45,6,"[-1.56764023e+02  1.02064533e+01 -1.19318726e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59826874e+02  3.06082520e+02
  3.50845486e-01  3.97559646e-04  6.00000000e+00  2.52749963e+00
  3.81469727e-04  1.34971043e+00  9.39439594e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  9.76810416e+01
  0.00000000e+00  1.00000000e+02 -2.36495383e+01  2.69343075e+00]",42,0.497344,0.497344,"[0.496554, 0.497338, 0.497298, 0.497344, 0.497306, 0.496339, 0.494986, 0.496505, 0.495152, 0.496345, 0.495863, 0.495835]",A white SUV is driving ahead (far) of the ego vehicle and switching lane.,True
46,0,"[-6.66807785e+01  1.02043724e+01 -1.14322227e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.22081079e-03  2.24000580e+02
  2.68040330e-05  2.81397854e+00  0.00000000e+00  1.00000000e+02
  1.00000000e+02  8.92785940e+01  4.77749187e+00  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  3.85808722e+01
  0.00000000e+00  1.00000000e+02 -2.36495383e+01  3.33463394e-01]",43,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,False
46,1,"[-8.50924301e+01  1.02034702e+01 -1.36429062e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59980255e+02  2.24069855e+02
  5.24270535e-02  8.69289981e+00  1.00000000e+00  3.73259175e+01
  5.02571353e+00  1.34878016e+00 -7.69394440e-01  2.17389568e+00
  1.80973416e-01  5.02571414e+00  1.80879850e+00  2.42062125e+01
  0.00000000e+00  1.00000000e+02  1.12925839e+00  1.03653216e+00]",57,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white Hatchback is driving ahead (far) of the ego vehicle and switching lane.,False
46,2,"[-1.16894882e+02  1.02042246e+01 -1.56692169e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  9.10141543e-02  2.98430664e+02
  6.58805192e-01  4.06548892e+00  2.00000000e+00  1.91297829e+01
  9.98053811e+00  1.34809536e+00  1.07159143e+00  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  3.95227865e+01
  0.00000000e+00  1.00000000e+02 -7.94188818e+00  1.10970892e+00]",29,7.5,1,"[0, 0, 0, 0, 0.375131, 1, 0.648736, 0.636848, 0.429284, 0.160512, 0.107424, 0.017145]",A pink Sedan is driving from the opposite direction (far) and maintaining lane.,False
