Episode,Step,State,Action,Reward,Collision Probability,Collision Probability List,Action_Description,Done
600,0,"[ -65.37860107   10.20427704 -112.69685364    0.           10.
   -1.          359.83154297  226.384552    359.99130249    3.02290535
    0.          100.          100.            1.47007439   -0.80956578
    0.            0.            0.            0.           38.14771387
    0.          100.            1.42212568    1.44925991]",143,0.571597,0.571597,"[0, 0.210698, 0.571597, 0.260006, 0, 0, 0, 0, 0, 0, 0, 0]",A red Hatchback is crossing the road from left to right (near) and switching lane.,False
600,1,"[-9.20988159e+01  1.02038012e+01 -1.40886078e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59880310e+02  2.21924591e+02
  3.59988251e+02  7.52516857e+00  1.00000000e+00  1.00000000e+02
  1.00000000e+02  1.34938951e+00 -7.31667806e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.63706394e+01
  0.00000000e+00  1.00000000e+02 -7.77032279e-01  3.27452042e-01]",111,-1,0.074682,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.074682, 0, 0]",A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,False
600,2,"[-1.16618271e+02  1.02042952e+01 -1.55340790e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59978943e+02  2.95482422e+02
  1.77581936e-01  3.27198168e+00  2.00000000e+00  1.09248266e+01
  5.89248585e+00  1.34878102e+00  1.12524189e+00  1.81678872e+00
  2.45278521e-01  1.76865919e+00  6.37626191e-01  7.22251345e+01
  0.00000000e+00  1.00000000e+02 -2.34972152e+01  1.32282472e+00]",54,-1,0.106771,"[0, 0, 0.106771, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white BoxTruck is driving from the opposite direction (far) and switching lane.,False
600,3,"[-1.49728577e+02  1.02029839e+01 -1.25240814e+02  0.00000000e+00
  1.00000000e+01  1.00000000e+00  3.59981537e+02  3.14104401e+02
  3.59977722e+02  1.01297188e+01  3.00000000e+00  2.81754960e+01
  0.00000000e+00  1.34876903e+00  8.01133999e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  1.57000000e+01
  0.00000000e+00  1.00000000e+02  3.60879736e-01  3.56651833e-01]",105,7.5,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0.066018, 1, 1, 0]",A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,False
600,4,"[-1.77647354e+02  1.02036057e+01 -9.82573013e+01  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59685181e+02  3.14671570e+02
  3.59991699e+02  1.77273224e-03  4.00000000e+00  6.99389892e+00
  2.38418579e-03  1.35057206e+00  7.91170178e-01  2.03363151e+01
  1.46688016e-01  2.38418579e-03  9.60520674e+00  7.22129830e+01
  0.00000000e+00  1.00000000e+02 -4.36506873e-01  1.53331268e+00]",134,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A yellow Sedan is crossing the road from left to right (far) and maintaining lane.,False
600,5,"[-1.77647064e+02  1.02032652e+01 -9.82554169e+01  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59660583e+02  3.14801300e+02
 -5.72829414e-03  2.32376555e-03  5.00000000e+00  6.99325167e+00
  2.51777244e-03  1.35071429e+00  7.88896945e-01  1.95146752e+01
  1.04726066e+00  2.51777258e-03  9.29384889e+00  7.15363871e+01
  0.00000000e+00  1.00000000e+02 -4.36506873e-01  1.51828578e+00]",76,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,False
600,6,"[-1.77646179e+02  1.02030897e+01 -9.82533951e+01  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59687164e+02  3.14923859e+02
  3.59989044e+02  6.98973364e-04  6.00000000e+00  6.99333261e+00
  1.90734863e-04  1.35055085e+00  7.86776274e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  7.04617896e+01
  0.00000000e+00  1.00000000e+02 -4.36506873e-01  1.49139212e+00]",20,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white Hatchback is driving ahead (far) of the ego vehicle and switching lane.,True
601,0,"[-6.59244843e+01  1.02043161e+01 -1.14515915e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59959137e+02  2.24130981e+02
  7.03915209e-02  3.22454332e+00  0.00000000e+00  1.00000000e+02
  1.00000000e+02  1.44534805e+00 -7.70381654e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.89761499e+01
  0.00000000e+00  1.00000000e+02 -4.22332656e-01  1.15444066e+00]",36,0.352269,0.352269,"[0, 0, 0, 0, 0, 0.352269, 0.12394, 0, 0, 0, 0, 0]",A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,False
601,1,"[-9.01035156e+01  1.02037792e+01 -1.39736465e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59875366e+02  2.23221588e+02
 -3.72046093e-03  7.53187812e+00  1.00000000e+00  4.75499037e+01
  1.00000242e+01  1.34942588e+00 -7.54329902e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.65501179e+01
  0.00000000e+00  1.00000000e+02  8.22938985e-02  1.01501632e+00]",1,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Light rain,False
601,2,"[-1.15768021e+02  1.02043133e+01 -1.56042252e+02  2.02000003e+01
  1.00000000e+01 -1.00000000e+00  3.59985107e+02  2.91545593e+02
  2.20160544e-01  3.11502155e+00  1.00000000e+00  1.00000000e+02
  1.00000000e+02  1.37964581e+00  1.19384710e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.50116696e+01
  0.00000000e+00  1.00000000e+02 -3.03288484e+01  1.57683758e+00]",106,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,False
