Learning Step,Learning Rate,Loss
1308,0.0001649267441664001,1.1576266288757324
1309,0.0001649267441664001,0.6553303003311157
1310,0.0001649267441664001,1.2660895586013794
1311,0.0001649267441664001,1.2326081991195679
1312,0.0001649267441664001,1.1995545625686646
1313,0.0001649267441664001,1.1669955253601074
1314,0.0001649267441664001,1.1350035667419434
1315,0.0001649267441664001,1.1036289930343628
1316,0.0001649267441664001,1.072909951210022
1317,0.0001649267441664001,1.0428828001022339
1318,0.0001649267441664001,1.013574481010437
1319,0.0001649267441664001,0.9849892854690552
1320,0.0001649267441664001,0.957153856754303
1321,0.0001649267441664001,0.9300617575645447
1322,0.0001649267441664001,0.9037174582481384
1323,0.0001649267441664001,0.8781212568283081
1324,0.0001649267441664001,0.8532596826553345
1325,0.0001649267441664001,0.8291350603103638
1326,0.0001649267441664001,0.8057236075401306
1327,0.0001649267441664001,0.7830199599266052
1328,0.0001649267441664001,0.7610080242156982
1329,0.0001649267441664001,0.7396706342697144
1330,0.0001649267441664001,0.718997061252594
1331,0.0001649267441664001,0.6989637017250061
1332,0.0001649267441664001,0.6795563101768494
1333,0.0001649267441664001,0.6607547402381897
1334,0.0001649267441664001,0.6425442099571228
1335,0.0001649267441664001,0.6249067187309265
1336,0.0001649267441664001,0.6078211665153503
1337,0.0001649267441664001,0.5912732481956482
1338,0.0001649267441664001,0.5752425789833069
1339,0.0001649267441664001,0.559715211391449
1340,0.0001649267441664001,0.5446715950965881
1341,0.0001649267441664001,0.5300975441932678
1342,0.0001649267441664001,0.515974760055542
1343,0.0001649267441664001,0.5022878646850586
1344,0.0001649267441664001,0.48902469873428345
1345,0.0001649267441664001,0.4761672019958496
1346,0.0001649267441664001,0.46370452642440796
1347,0.0001649267441664001,0.4516189694404602
1348,0.0001649267441664001,0.4398999810218811
1349,0.0001649267441664001,0.4285345673561096
1350,0.0001649267441664001,0.4175083041191101
1351,0.0001649267441664001,0.40681174397468567
1352,0.0001649267441664001,0.3964318037033081
1353,0.0001649267441664001,0.3863582909107208
1354,0.0001649267441664001,0.37657955288887024
1355,0.0001649267441664001,0.36708471179008484
1356,0.0001649267441664001,0.35786616802215576
1357,0.0001649267441664001,0.34891271591186523
1358,0.0001649267441664001,0.3402177691459656
1359,0.0001649267441664001,0.3317689597606659
1360,0.0001649267441664001,0.3235603868961334
1361,0.0001649267441664001,0.31558188796043396
1362,0.0001649267441664001,0.30782726407051086
1363,0.0001649267441664001,0.30028918385505676
1364,0.0001649267441664001,0.29295825958251953
1365,0.0001649267441664001,0.2858305871486664
1366,0.0001649267441664001,0.27889779210090637
1367,0.0001649267441664001,0.27215376496315
