Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Sudden Appearance,Overlapping,Repeated Collision,Unreal Pedes Col,Done
0,"[ -68.56570435   10.20427513 -116.8678894     0.           10.
   -1.          359.90966797  222.70103455  359.94555664    5.5456803
    0.          100.          100.            1.3492051    -0.74502634
    0.            0.            0.            0.           65.88887192
    0.          100.           -0.52239744    1.93779587]",143,by model,0.470284,No collision,"[0, 0.064567, 0.470284, 0.104931, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
0,"[-1.00179169e+02  1.02037373e+01 -1.50172409e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  6.63523972e-02  2.25438980e+02
  8.72723460e-02  7.73582028e+00  1.00000000e+00  1.00000000e+02
  1.00000000e+02  1.34824126e+00 -7.93460989e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.45000000e+01  1.00000000e+02 -3.00355268e+00 -2.68338253e-01]",3,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
0,"[-1.23597069e+02  1.02040501e+01 -1.50448563e+02  1.01000000e+02
  1.00000000e+01 -1.00000000e+00  3.59917267e+02  3.10029968e+02
  8.70872214e-02  6.05846642e+00  1.00000000e+00  1.00000000e+02
  1.00000000e+02  1.34915113e+00  8.71748529e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.06550955e+01
  0.00000000e+00  1.00000000e+02 -3.53354348e+00  5.93549353e-01]",14,randomly,1,4bd91d5a-09aa-4f93-a1a9-f5d01afe38f3,"[0, 0, 0, 0, 0.054878, 0.329344, 0.573538, 0.807961, 1, 1, 0.45829, 0.436115]",False,False,False,False,False
0,"[-1.50869400e+02  1.02047253e+01 -1.24996063e+02  1.01000000e+02
  1.00000000e+01  1.00000000e+00  3.59988251e+02  2.91796936e+02
  1.54422909e-01  6.93155555e-03  2.00000000e+00  2.81942713e+00
  0.00000000e+00  1.34871693e+00  1.18966284e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",55,by model,0.391589,No collision,"[0.391589, 0.339627, 0.260689, 0.175492, 0.087299, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
0,"[-1.50953339e+02  1.02044849e+01 -1.24961250e+02  1.01000000e+02
  1.00000000e+01  1.00000000e+00  5.93008881e-05  2.91854065e+02
 -7.12577548e-06  1.77712316e-05  3.00000000e+00  7.48494164e+00
  0.00000000e+00  1.34864640e+00  1.18936762e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",73,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
0,"[-1.50953339e+02  1.02044849e+01 -1.24961250e+02  1.01000000e+02
  1.00000000e+01  1.00000000e+00  5.68263131e-05  2.91854065e+02
 -1.42132139e-05  2.93937176e-05  4.00000000e+00  7.48494164e+00
  0.00000000e+00  1.34864640e+00  1.18936762e+00  1.19704909e+00
  3.14861441e+00  0.00000000e+00  1.94584566e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",23,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
0,"[-1.50953339e+02  1.02044849e+01 -1.24961250e+02  1.01000000e+02
  1.00000000e+01 -1.00000000e+00  5.77308929e-05  2.91854065e+02
 -1.17328646e-05  4.44806107e-07  5.00000000e+00  7.48494164e+00
  0.00000000e+00  1.34864640e+00  1.18936762e+00  1.19713533e+00
  3.14879668e+00  0.00000000e+00  1.94584432e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",29,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
0,"[-1.50953339e+02  1.02044859e+01 -1.24961250e+02  1.01000000e+02
  1.00000000e+01 -1.00000000e+00  6.84276383e-05  2.91854065e+02
 -2.33483188e-05  2.89385273e-05  6.00000000e+00  7.48494164e+00
  0.00000000e+00  1.34864640e+00  1.18936762e+00  1.19918509e+00
  3.14887030e+00  0.00000000e+00  1.94657791e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",23,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
0,"[-1.50953339e+02  1.02044849e+01 -1.24961250e+02  1.01000000e+02
  1.00000000e+01 -1.00000000e+00  6.76008567e-05  2.91854065e+02
 -2.30467940e-05  1.89544828e-05  7.00000000e+00  7.48494164e+00
  0.00000000e+00  1.34864640e+00  1.18936762e+00  1.19757833e+00
  3.14964468e+00  0.00000000e+00  1.94583250e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",23,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,False
0,"[-1.50953339e+02  1.02044849e+01 -1.24961250e+02  1.01000000e+02
  1.00000000e+01 -1.00000000e+00  6.22441366e-05  2.91854065e+02
 -9.63183993e-06  1.05223970e-05  8.00000000e+00  7.48494164e+00
  0.00000000e+00  1.34864640e+00  1.18936762e+00  1.19762934e+00
  3.14972556e+00  0.00000000e+00  1.94582837e+00  0.00000000e+00
  5.00000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00]",23,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,False,False,False,True
