Episode,State,Action,Choosing_Type,Collision_Probability,DTO,ETTC,JERK,Collision_uid,Collision_Probability_Per_Step,DTO_list,ETTC_list,JERK_list,Done
10,"[-1.88777374e+02  1.02043839e+01 -8.75426407e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  3.59875458e+02  3.15353424e+02  2.29535566e-04  1.80794004e+00]",25,by model,0.493148,71.369187,17.07107,5.315773,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.110678, 0.493148, 0, 0.126881]","[71.369187, 76.523892, 82.166292, 88.419168, 95.026185, 101.898383, 108.964506, 116.073355, 123.043268, 129.689613, 135.961323, 141.794813]","[100, 100, 100, 100, 17.07107, 100, 100, 100, 100, 100, 100, 100]","[5.315772622652416, 5.122360715751137, 0.24087770389164787, 3.0930450843866004, 2.2839453476038587, 1.508092388950272, 1.2565514754280644, 0.5532637045308761, 3.3708847081693434, 4.085085487987369, 3.529102422002162, 2.0674362698145536]",False
10,"[-2.13658966e+02  1.02043362e+01 -6.51987839e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  9.55717266e-02  2.95274963e+02  3.59732452e+02  3.63086847e+00]",24,randomly,0.498889,7.208043,0.9863,1.994746,No collision,"[0.300851, 0.477283, 0.213206, 0, 0, 0, 0, 0.243109, 0.498889, 0.282062, 0.262366, 0.35069]","[43.863916, 39.275223, 33.837481, 28.277877, 22.785467, 17.760019, 13.294449, 9.596013, 7.255794, 7.208043, 9.228751, 12.199645]","[100, 100, 100, 100, 100, 100, 1.016817, 0.9863, 100, 100, 100, 100]","[0.9109951653986406, 0.25264798613154626, 0.9037219977024608, 0.9103455946721491, 0.1730466150988531, 1.1507826283767364, 0.5983612388696676, 1.4365773417016654, 1.9947460022815864, 0.2440996094165263, 1.0294037293882385, 0.39798867710899044]",False
10,"[-225.18075562   10.2042532   -77.6975708     0.            0.
    0.5          10.            0.          359.96936035  179.74131775
  359.8482666     4.05193973]",46,by model,0.53936,14.546663,3.378027,3.921822,No collision,"[0.411045, 0.53936, 0.512707, 0.480922, 0.484421, 0.390656, 0.297064, 0.208075, 0.118406, 0.035742, 0, 0]","[14.546663, 18.550468, 21.924973, 25.063342, 28.100809, 31.032733, 33.964354, 36.894342, 39.836614, 42.722739, 45.705588, 48.632285]","[35.606239, 3.378027, 3.529037, 4.095221, 4.222911, 4.69902, 100, 100, 100, 6.644895, 100, 100]","[1.9314682343911185, 2.3864945958776644, 3.18537900309394, 3.921822221197467, 2.5020565559362744, 0.6444499360373992, 2.926748211847671, 0.7836670063439279, 2.7889001556273705, 0.13047866441822387, 0.280616072478725, 0.47458703497635046]",False
10,"[-217.59008789   10.20315647 -125.92778015    0.            0.
    0.5          10.           -1.          359.98760986  165.93008423
  359.2911377    10.40714276]",46,by model,0.0,51.71329,2.665204,3.507038,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[51.71329, 54.939278, 57.767354, 61.156757, 64.114361, 67.10829, 70.091124, 69.146071, 65.861386, 63.074258, 60.65497, 58.568285]","[2.665204, 100, 100, 9.521872, 10.670063, 11.248054, 12.182051, 100, 100, 100, 25.145977, 100]","[0.6044823319135623, 0.5840722349894325, 0.04278290603460172, 1.165454283368076, 0.3173211375581695, 2.1595868268406058, 1.9646295095869375, 3.295933648386894, 3.5070383580494373, 2.522743326860293, 2.562514047080491, 2.441398074045401]",False
10,"[-2.10185577e+02  1.02042551e+01 -1.71945053e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  6.73908517e-02  1.70344681e+02 -1.17642419e-04  3.91577149e+00]",26,by model,0.453409,14.691908,2.981744,1.813335,No collision,"[0, 0, 0.121588, 0.283096, 0.453409, 0.274823, 0, 0, 0, 0, 0, 0]","[14.691908, 16.012468, 19.39229, 22.937449, 25.142732, 28.392771, 32.606893, 37.292524, 41.80722, 45.018071, 47.31718, 48.838437]","[100, 41.409256, 2.981744, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1.123728680818675, 0.4573999379670255, 0.11156133710300287, 0.8157897348332908, 0.56847698103263, 1.8133349733382353, 0.13390572682114354, 0.1180821455249651, 0.010531710941086486, 0.22455811320806357, 0.3661767919916876, 0.15035086818624568]",False
10,"[-2.09370621e+02  1.02044630e+01 -1.76733948e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  3.59984253e+02  1.70311554e+02 -3.66723471e-05  2.61379552e-01]",25,by model,0.0,16.054336,100.0,0.220236,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16.054336, 17.927584, 20.108643, 22.57708, 26.029178, 30.269983, 34.521302, 38.297186, 42.05879, 44.781976, 46.622517, 47.878793]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[0.16911600015627712, 0.043044703169120235, 0.20955960907675464, 0.2202363615954278, 0.10142092623808752, 0.06901557619439691, 0.0802347475436312, 0.16920461114979005, 0.10443809034662688, 0.0035737126477435113, 0.0449651115747212, 0.11004729912481515]",False
10,"[-2.09234467e+02  1.02044668e+01 -1.77531036e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  3.59985565e+02  1.70286285e+02  1.32686137e-05  1.38655822e-01]",25,by model,0.451061,16.087541,5.269195,0.077012,No collision,"[0, 0, 0.451061, 0.253407, 0, 0, 0, 0, 0, 0, 0, 0]","[16.087541, 17.785008, 20.04811, 22.506456, 25.8374, 29.97772, 34.327946, 37.95748, 42.214922, 46.867241, 51.728095, 56.666654]","[100, 100, 100, 100, 46.685682, 100, 6.597051, 100, 100, 100, 5.269195, 100]","[0.014783158090959508, 0.023310863763447612, 0.0011979064259759684, 0.008796560767681233, 0.06164145630883465, 0.018151455139464766, 0.04987745993590505, 0.0451637186372455, 0.010700987836359553, 0.07701181588215347, 0.02268921961594903, 0.018084930896400064]",False
10,"[-2.09203644e+02  1.02044754e+01 -1.77713013e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  6.63566776e-03  1.70271729e+02  1.52755849e-04  1.88491277e-04]",25,by model,0.0,16.093066,6.183171,0.060328,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16.093066, 17.739609, 19.930366, 22.663973, 26.798611, 31.519774, 35.395199, 39.201373, 43.598135, 48.334912, 53.232617, 58.197077]","[6.183171, 100, 51.386425, 7.704379, 100, 100, 100, 100, 100, 100, 100, 100]","[0.00858728124621468, 0.060327903996048364, 0.04573180043374992, 0.027283290089613964, 0.010513122436054158, 0.0031568181992117778, 0.003649167842139296, 0.003144392976881829, 0.003334055376799234, 0.0031578257779678095, 9.550115757179893e-05, 0.0004491496941366217]",False
10,"[-2.09197433e+02  1.02044764e+01 -1.77748978e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.64662511e-03  1.70263687e+02  4.71460917e-05  3.71410842e-05]",36,randomly,0.740074,5.666923,13.925816,0.007701,No collision,"[0, 0.384984, 0.496567, 0, 0, 0.56718, 0.740074, 0.635498, 0.468917, 0.291813, 0, 0]","[48.327085, 43.916332, 37.607643, 30.439214, 22.841812, 14.921445, 5.666923, 10.360257, 23.951853, 38.496314, 50.552096, 54.470112]","[100, 56.848664, 100, 100, 58.339572, 100, 59.334123, 100, 100, 13.925816, 14.075219, 100]","[0.007701488095030103, 0.0014031561790436497, 0.0012178294405628173, 0.0012634967751784022, 0.001336714715924778, 0.001394647497982791, 0.007371273206751754, 0.0009464902360501607, 0.0009018382293689781, 0.0009802770933443035, 0.0008662938705760329, 0.0009170701495967871]",False
10,"[-2.09195099e+02  1.02044754e+01 -1.77762558e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  4.12484624e-05  1.70263794e+02 -2.87853272e-05  1.64949047e-06]",25,by model,0.0,13.263867,3.665785,0.023891,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13.263867, 14.850828, 17.966931, 21.026329, 23.523574, 26.248429, 30.003011, 34.491284, 39.326522, 43.711286, 46.845795, 48.998336]","[100, 12.868047, 100, 25.811909, 100, 100, 100, 3.665785, 100, 100, 100, 100]","[0.0026230133435608495, 0.023890542168831127, 0.011111616055473466, 0.0003636374837629776, 0.0002555806074188739, 0.0001344900457426971, 0.00016934937183378865, 0.00011636992752889555, 0.0001144446712560334, 0.0001231571618418026, 0.00011711143747193849, 0.00011465468057554953]",False
