is_detected,max_distance
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,125.90788201697303
False,-1.0
False,-1.0
True,65.20561883764313
False,-1.0
False,-1.0
True,7.6302086472127355
True,8.372031115565685
True,8.683409238311874
True,9.212699278713053
False,-1.0
True,14.95406560103305
True,8.597617984069773
False,-1.0
False,-1.0
False,-1.0
True,25.538549156128663
False,-1.0
False,-1.0
True,25.474177670731592
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,32.651406141236855
True,1.8739557091884536
False,-1.0
False,-1.0
True,13.758041648432382
True,4.3775806103371755
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,42.562911531050126
False,-1.0
True,44.85516267945085
True,44.59784716777257
False,-1.0
True,30.07767753667161
False,-1.0
False,-1.0
True,3.6011503717562254
True,2.6746461448199086
True,58.311694358850524
True,35.25580352225715
True,36.09841959144472
True,16.973016025444625
True,44.28414029875707
True,21.50358102735449
False,-1.0
True,32.524743688459715
False,-1.0
True,27.833178600368303
True,27.744203268430688
True,31.591865566946186
True,27.020432361455654
True,20.83050568277208
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,16.813057574397348
True,19.41612556613703
True,12.645300708168232
True,11.331224426336282
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,41.7073179190415
True,37.280289832564335
False,-1.0
True,100.98961448089601
False,-1.0
True,14.080507838852972
True,14.244275130732346
True,4.941678864515581
True,14.530310044868278
True,14.342700233916904
True,14.55587582387264
True,14.697490942334342
True,25.799526759225643
True,14.71702751916976
False,-1.0
True,14.113095337309955
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,14.88818071491611
True,15.106049086375961
False,-1.0
True,61.50282395142519
True,14.857281682730527
False,-1.0
False,-1.0
True,15.259099514715802
True,26.502275864536614
True,38.9343481774127
True,53.139929553961586
False,-1.0
True,11.055976709454484
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,28.982808852835504
False,-1.0
True,53.500719640019796
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,58.00048327384867
True,20.120227334699774
False,-1.0
True,70.65365345826075
False,-1.0
False,-1.0
True,29.150435091092554
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,11.838737643853756
True,7.5620062152844065
True,7.376123439856467
True,7.492320001174536
False,-1.0
False,-1.0
True,114.0896887233899
True,165.5690587458901
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,31.7643436576297
False,-1.0
False,-1.0
False,-1.0
True,14.390532026301182
True,4.2173888841319815
True,5.9967958110977895
True,27.26029471594172
True,1.7165541063421217
True,37.862981433056746
True,3.1606474020364876
True,41.08299235693525
False,-1.0
True,11.26331691820842
True,10.02601396368467
True,10.81034208524411
False,-1.0
True,12.280472303620899
True,6.632860242761037
True,10.055718572036511
True,34.81300698015039
True,12.3509132051035
True,5.850420668635717
True,12.869307052052182
True,3.9695493446989674
True,12.63442634233941
False,-1.0
True,12.312796148722677
True,13.808125035644775
False,-1.0
True,12.420392022798637
True,12.427869889888614
False,-1.0
True,12.786012005312681
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,65.39591676091099
False,-1.0
True,61.16132650621633
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,130.65718956490684
True,160.15817939774416
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,52.77003741707978
False,-1.0
False,-1.0
False,-1.0
True,90.81505641687396
False,-1.0
False,-1.0
False,-1.0
True,58.86547255395135
True,58.61045190919449
False,-1.0
True,17.97555420564273
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
True,36.84104755568169
True,63.15915071468267
False,-1.0
False,-1.0
False,-1.0
False,-1.0
False,-1.0
