per_confi,pred_confi,reward
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,0.399
0.8,0.7,1.0
0.8,0.7,0.7
0.8,0.7,0.7
0.8,0.7,0.453
0.8,0.7,0.453
0.8,0.7,1.0
0.8,0.7,0.33
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,1.0
0.8,0.7,0.618
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,0.682
0.8132919073104858,0.5982627867289584,-1
0.8,0.5982627867289584,-1
0.8,0.5982627867289584,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.7722946405410767,0.7,-1
0.5335817933082581,0.7,-1
0.8,0.7,0.256
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.9061871767044067,0.7,-1
0.8,0.9713585029144215,-1
0.6424317955970764,0.7,-1
0.6459574699401855,0.7,-1
0.8,0.7,1.0
0.8,0.7,-1
0.8257668614387512,0.7651955468667222,1.0
0.8,0.7,0.999
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,0.999
0.8,0.7,0.999
0.8,0.7,0.999
0.8,0.7,0.998
0.8,0.7,0.998
0.8,0.7,0.998
0.8,0.7,0.998
0.8,0.7,0.998
0.8,0.7,0.998
0.8,0.7,0.998
0.8,0.7,0.998
0.8,0.7,0.998
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.9604547023773193,0.13506702247926794,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,1.0
0.8,0.7,-1
